iter	RMSE
0	14.37114024
1	13.99452463
2	13.64474428
3	13.32334948
4	13.02466581
5	12.7399173
6	12.49013799
7	12.25963564
8	12.0422239
9	11.84659598
10	11.66310129
11	11.50103937
12	11.35174114
13	11.20929728
14	11.08576062
15	10.97495317
16	10.87094162
17	10.77924828
18	10.69093208
19	10.61337288
20	10.54283845
21	10.48017727
22	10.42449305
23	10.37454001
24	10.32656728
25	10.28087996
26	10.24044042
27	10.2050471
28	10.17401697
29	10.14236407
30	10.11711698
31	10.09281498
32	10.07003155
33	10.05007806
34	10.03234553
35	10.01627123
36	10.00157516
37	9.98882503
38	9.977382184
39	9.966323301
40	9.956492858
41	9.947568053
42	9.939882818
43	9.933314128
44	9.926462925
45	9.920244259
46	9.913854571
47	9.908708649
48	9.903907721
49	9.898583888
50	9.894326907
51	9.890405488
52	9.886949575
53	9.884254873
54	9.881186465
55	9.879019086
56	9.87692893
57	9.874668027
58	9.872009785
59	9.87033456
60	9.868641473
61	9.867083517
62	9.865709622
63	9.863820817
64	9.861872863
65	9.860931627
66	9.860108175
67	9.858630728
68	9.857693889
69	9.857174697
70	9.856485374
71	9.855419294
72	9.854148712
73	9.85351897
74	9.852676287
75	9.852310473
76	9.850887164
77	9.85006744
78	9.848797617
79	9.848291773
80	9.848084301
81	9.847448777
82	9.846066682
83	9.84584217
84	9.844916777
85	9.844555909
86	9.844117024
87	9.8433318
88	9.842744774
89	9.842455192
90	9.842252313
91	9.842003936
92	9.840533591
93	9.839844846
94	9.839473099
95	9.839246605
96	9.838128842
97	9.83769517
98	9.837288041
99	9.837061012
100	9.836949975
101	9.836135647
102	9.835913575
103	9.835355303
104	9.835102388
105	9.834135964
106	9.833639414
107	9.8333288
108	9.832285231
109	9.831642128
110	9.831453352
111	9.831258497
112	9.829944254
113	9.829620876
114	9.828507569
115	9.828342445
116	9.827057893
117	9.826854599
118	9.826587
119	9.826316772
120	9.825873296
121	9.824509201
122	9.824196537
123	9.823934619
124	9.823739916
125	9.823437753
126	9.82217462
127	9.821518173
128	9.820891541
129	9.820411987
130	9.819390921
131	9.818667873
132	9.817824135
133	9.817071637
134	9.816877315
135	9.816785811
136	9.816174626
137	9.815395155
138	9.814668964
139	9.814368577
140	9.813751723
141	9.813350927
142	9.812069556
143	9.811765943
144	9.811478459
145	9.810837614
146	9.810234932
147	9.809918883
148	9.809594534
149	9.808936811
150	9.80861878
151	9.808411903
152	9.80761825
153	9.8070946
154	9.806523762
155	9.806382458
156	9.806083124
157	9.805738436
158	9.804888443
159	9.804541201
160	9.804186735
161	9.803646524
162	9.803481863
163	9.802589337
164	9.802274995
165	9.801940525
166	9.801504514
167	9.800454556
168	9.799464906
169	9.798922302
170	9.798470175
171	9.798240277
172	9.797705299
173	9.797492004
174	9.796812213
175	9.796356075
176	9.795736335
177	9.795084871
178	9.794644006
179	9.794454169
180	9.793987483
181	9.793758503
182	9.793525516
183	9.793131271
184	9.792773796
