iter	RMSE
0	107.9740712
1	102.0707256
2	96.84934126
3	92.20934968
4	88.01176677
5	84.24321727
6	80.86176247
7	77.84343328
8	75.16800564
9	72.68399215
10	70.59868296
11	68.50199252
12	66.83437703
13	65.15240899
14	63.61363745
15	62.25929978
16	61.17048615
17	59.90659282
18	59.00475106
19	58.04284997
20	57.14571139
21	56.39078476
22	55.72620321
23	55.22116829
24	54.61357093
25	54.06680319
26	53.56889988
27	52.96991626
28	52.52598836
29	52.15875049
30	51.79705508
31	51.39537018
32	51.06836375
33	50.62930172
34	50.41556609
35	50.12990756
36	49.83086258
37	49.46607041
38	49.29587113
39	49.0653637
40	48.67685734
41	48.28938089
42	48.0552725
43	47.91457676
44	47.75846338
45	47.37363419
46	47.16211911
47	46.84982815
48	46.6459095
49	46.39506518
50	46.07385161
51	45.86844514
52	45.55929675
53	45.42065757
54	45.21101048
55	44.81752874
56	44.5081033
57	44.30848023
58	43.95868625
59	43.80465012
60	43.58251158
61	43.41985085
62	43.06208869
63	42.80161525
64	42.63533921
65	42.43802516
66	42.09377244
67	41.89160217
68	41.66144051
69	41.28703862
70	41.0834393
71	40.93137223
72	40.78863325
73	40.62040934
74	40.37689065
75	40.15186837
76	39.96747393
77	39.7238567
78	39.4927939
79	39.32542935
80	39.10909709
81	38.8391183
82	38.65655227
83	38.54920697
84	38.31463641
85	38.19484087
86	38.02486133
87	37.89115879
88	37.72838482
89	37.60344071
90	37.43707828
91	37.25581254
92	37.09232304
93	36.96055368
94	36.8276723
95	36.54743844
96	36.42734941
97	36.30852386
98	36.18539984
99	36.04771122
100	35.84441494
101	35.74470617
102	35.61104332
103	35.44706042
104	35.28859154
105	35.13813965
106	35.05738955
107	34.89934944
108	34.7253405
109	34.64468597
110	34.50553574
111	34.33320126
112	34.1827273
113	34.04123243
114	33.97603105
115	33.83275125
116	33.68166236
117	33.5613637
118	33.34628137
119	33.23848767
120	33.18084602
121	32.93530695
122	32.86379348
123	32.67824159
124	32.5703147
125	32.44855423
126	32.40358887
127	32.32614022
128	32.23116129
129	32.07710334
130	31.90541249
131	31.81176268
132	31.72530756
133	31.66332877
134	31.48790178
135	31.35668381
136	31.28348089
137	31.2019915
138	31.06271619
139	30.99364953
140	30.77887805
141	30.70717725
142	30.61714959
143	30.44755776
144	30.33058156
145	30.2222526
146	30.16252729
147	30.05099954
148	30.01762216
149	29.90899211
150	29.76163427
151	29.61033702
152	29.52813702
153	29.44180051
154	29.36146223
155	29.29181959
156	29.0882518
157	29.02527464
158	28.93418738
159	28.83707228
160	28.78831928
161	28.74617558
162	28.68303182
163	28.59199211
164	28.46756782
165	28.33061967
166	28.18876703
167	28.09765576
168	28.00214304
169	27.89035792
170	27.83571806
171	27.7990375
172	27.75902459
173	27.66692504
174	27.58228167
175	27.52581153
176	27.42051088
177	27.33268861
178	27.23328137
179	27.18591054
180	27.13507571
181	27.00277847
182	26.90146571
183	26.82179442
184	26.69053203
185	26.57203421
186	26.47753206
187	26.42425949
188	26.30934517
189	26.25043898
190	26.20251265
191	26.17006065
192	26.05555239
193	25.99606851
194	25.83205234
195	25.77515224
196	25.72496016
197	25.65244573
198	25.55694883
199	25.46744564
200	25.41662025
201	25.38633564
202	25.35386629
203	25.23029665
204	25.14398052
205	25.05517196
206	24.99618287
207	24.93043754
208	24.84797283
209	24.77108163
210	24.72538846
211	24.69759351
212	24.65064491
213	24.59696831
214	24.52440907
215	24.45814342
216	24.39331093
217	24.36847815
218	24.25025672
219	24.19966262
220	24.13776897
221	24.10644584
222	24.04706551
223	23.96962762
224	23.92938953
225	23.9026104
226	23.83209323
227	23.77642608
228	23.74316627
229	23.68301104
230	23.60840406
231	23.55296759
232	23.52952198
233	23.47112977
234	23.42347707
235	23.39011295
236	23.33271183
237	23.28676733
238	23.25525025
239	23.17470085
240	23.07792897
241	23.05146659
242	22.99349453
243	22.9288952
244	22.88850702
245	22.85290556
246	22.80387592
247	22.7754501
248	22.71260651
249	22.6622978
250	22.6042818
251	22.52196558
252	22.49127117
253	22.42278051
254	22.3731226
255	22.3612905
256	22.34694339
257	22.27381005
258	22.23392629
259	22.17807863
260	22.1411096
261	22.11011252
262	22.03827847
263	22.02209496
264	21.95432574
265	21.89355201
266	21.83563227
267	21.8005735
268	21.75969094
269	21.70119054
270	21.68846745
271	21.65042982
272	21.60521217
273	21.54814896
274	21.49740407
275	21.44047683
276	21.39571502
277	21.35677664
278	21.33481279
279	21.29224953
280	21.25859943
281	21.24902105
282	21.19789302
283	21.1600835
284	21.13160832
285	21.09223148
286	21.0590873
287	21.05078447
288	21.00398138
289	20.97547021
290	20.94901706
291	20.88552627
292	20.84950814
293	20.79636986
294	20.76830275
295	20.7540046
296	20.71138574
297	20.68465073
298	20.66197694
299	20.61038349
300	20.57081394
301	20.53780435
302	20.49453156
303	20.47247136
304	20.43473074
305	20.40898796
306	20.37291062
307	20.33356846
308	20.31944424
309	20.29177337
310	20.26257044
311	20.21235632
312	20.17680018
313	20.15644525
314	20.1073779
315	20.09645185
316	20.07920814
317	20.03697843
318	20.01016726
319	19.99274311
320	19.94627883
321	19.91356748
322	19.88058396
323	19.85717713
324	19.8377016
325	19.82729599
326	19.79914868
327	19.75254362
328	19.71875182
329	19.68915623
330	19.66362894
331	19.62913329
332	19.58856815
333	19.56741045
334	19.54883147
335	19.5300612
336	19.49028512
337	19.46153918
338	19.4459187
339	19.42654946
340	19.41801292
341	19.38712778
342	19.35422662
343	19.33464185
344	19.30006033
345	19.26997306
346	19.25162383
347	19.22377251
348	19.20850598
349	19.19742283
350	19.17539592
351	19.16127667
352	19.13266447
353	19.09887976
354	19.08099246
355	19.05252106
356	19.02806236
357	19.01291037
358	18.98069882
359	18.96712593
360	18.93876756
361	18.91865059
362	18.90085461
363	18.88513851
364	18.8599962
365	18.84653892
366	18.82085559
367	18.80606114
368	18.78315522
369	18.75804383
370	18.7398153
371	18.7178913
372	18.69502431
373	18.67401885
374	18.64183532
375	18.62023184
376	18.60834092
377	18.59626347
378	18.57701023
379	18.5714746
380	18.5515745
381	18.53267027
382	18.51441644
383	18.47858774
384	18.46726848
385	18.45296875
386	18.43392311
387	18.42072323
388	18.3883295
389	18.36342839
390	18.34644944
391	18.30847462
392	18.28537992
393	18.26549924
394	18.23757009
395	18.21480886
396	18.19900905
397	18.17944765
398	18.17001889
399	18.15926316
400	18.14937755
401	18.12511643
402	18.11168535
403	18.10129319
404	18.0892141
405	18.07611001
406	18.06358301
407	18.0521814
408	18.02933513
409	18.01341429
410	17.99452829
411	17.97388574
412	17.95762068
413	17.95043069
414	17.93027832
415	17.92393309
416	17.90618275
417	17.88930594
418	17.87550929
419	17.84872876
420	17.82760455
421	17.79244754
422	17.77006106
423	17.74221972
424	17.72713352
425	17.71289108
426	17.7002504
427	17.68002988
428	17.66840537
429	17.66200121
430	17.64828592
431	17.63973823
432	17.63419696
433	17.6258208
434	17.61428156
435	17.59771313
436	17.59341179
437	17.58875116
438	17.57887491
439	17.56691499
440	17.55476622
441	17.54612906
442	17.51664769
443	17.50616829
444	17.48935707
445	17.46383977
446	17.45464399
