iter	Passed	Remaining
0	2	2346
1	4	2155
2	6	2100
3	6	1693
4	7	1434
5	7	1259
6	8	1139
7	8	1046
8	8	978
9	10	1082
10	13	1172
11	15	1253
12	17	1304
13	19	1348
14	21	1404
15	23	1443
16	25	1489
17	27	1527
18	30	1558
19	32	1583
20	34	1598
21	36	1624
22	38	1645
23	40	1655
24	42	1663
25	44	1671
26	46	1678
27	48	1692
28	50	1704
29	52	1713
30	54	1717
31	56	1720
32	58	1717
33	60	1705
34	61	1697
35	63	1688
36	64	1679
37	66	1671
38	67	1662
39	68	1653
40	70	1646
41	71	1637
42	73	1627
43	74	1617
44	75	1604
45	76	1590
46	77	1576
47	78	1560
48	79	1545
49	80	1530
50	81	1515
51	82	1500
52	83	1485
53	83	1469
54	84	1454
55	85	1439
56	86	1427
57	87	1413
58	87	1398
59	88	1384
60	89	1370
61	89	1357
62	90	1343
63	90	1330
64	91	1317
65	92	1304
66	92	1292
67	93	1279
68	93	1266
69	94	1253
70	94	1241
71	95	1228
72	95	1216
73	96	1205
74	96	1193
75	97	1182
76	97	1171
77	98	1160
78	98	1149
79	99	1139
80	99	1129
81	100	1119
82	100	1109
83	100	1100
84	101	1090
85	101	1080
86	102	1071
87	102	1062
88	102	1053
89	103	1044
90	103	1036
91	104	1027
92	104	1018
93	104	1010
94	105	1003
95	105	995
96	106	988
97	106	981
98	107	974
99	107	966
100	107	959
101	108	952
102	108	945
103	109	939
104	109	932
105	109	926
106	110	919
107	110	913
108	111	907
109	111	901
110	111	895
111	112	889
112	112	884
113	113	878
114	113	872
115	113	867
116	114	862
117	114	856
118	115	851
119	115	846
120	115	841
121	116	836
122	116	831
123	117	826
124	117	822
125	117	817
126	118	813
127	118	808
128	119	804
129	119	800
130	120	796
131	120	792
132	120	787
133	121	783
134	121	779
135	122	775
136	122	771
137	122	767
138	123	764
139	123	760
140	124	756
141	124	752
142	124	748
143	125	745
144	125	741
145	126	737
146	126	734
147	126	730
148	127	727
149	127	723
150	128	720
151	128	717
152	128	713
153	129	710
154	129	707
155	130	704
156	130	700
157	131	698
158	131	695
159	131	692
160	132	689
161	132	686
162	133	683
163	133	681
164	134	678
165	134	675
166	134	672
167	135	669
168	135	666
169	136	664
170	136	661
171	136	658
172	137	656
173	137	653
174	138	651
175	138	648
176	138	646
177	139	643
178	139	640
179	140	638
180	140	635
181	140	633
182	141	630
183	141	628
184	142	626
185	142	624
186	143	621
187	143	619
188	143	617
189	144	614
190	144	612
191	145	610
192	145	608
193	146	606
194	146	604
195	146	602
196	147	600
197	147	598
198	148	596
199	148	594
200	149	592
201	149	590
202	149	588
203	150	586
204	150	584
205	151	582
206	151	580
207	151	578
208	152	576
209	152	574
210	153	572
211	153	570
212	154	569
213	154	567
214	154	565
215	155	563
216	155	561
217	156	560
218	156	558
219	156	556
220	157	554
221	157	552
222	158	550
223	158	549
224	159	547
225	159	545
226	159	544
227	160	542
228	160	540
229	160	538
230	161	537
231	161	535
232	162	534
233	162	532
234	163	530
235	163	529
236	163	527
237	164	526
238	164	524
239	165	522
240	165	521
241	165	519
242	166	518
243	166	516
244	167	514
245	167	513
246	167	511
247	168	510
248	168	508
249	169	507
250	169	505
251	169	504
252	170	502
253	170	501
254	171	500
255	171	498
256	171	497
257	172	495
258	172	494
259	173	492
260	173	491
261	173	489
262	174	488
263	174	487
264	175	485
265	175	484
266	175	482
267	176	481
268	176	480
269	177	478
270	177	477
271	177	476
272	178	474
273	178	473
274	179	472
275	179	470
276	179	469
277	180	468
278	180	467
279	181	466
280	181	465
281	182	463
282	182	462
283	182	461
284	183	459
285	183	458
286	184	457
287	184	456
288	184	455
289	185	453
290	185	452
291	186	451
292	186	450
293	187	449
294	187	447
295	187	446
296	188	445
297	188	444
298	189	443
299	189	442
300	189	440
301	190	439
302	190	438
303	191	437
304	191	436
305	191	435
306	192	433
307	192	432
308	193	431
309	193	430
310	193	429
311	194	428
312	194	427
313	195	426
314	195	425
315	195	424
316	196	423
317	196	422
318	197	421
319	197	419
320	198	418
321	198	417
322	198	416
323	199	415
324	199	414
325	199	413
326	200	412
327	200	411
328	201	410
329	201	409
330	201	408
331	202	407
332	202	406
333	203	405
334	203	404
335	203	403
336	204	402
337	204	401
338	205	400
339	205	398
340	205	397
341	206	396
342	206	395
343	207	394
344	207	393
345	207	392
346	208	391
347	208	390
348	209	390
349	209	389
350	209	388
351	210	387
352	210	386
353	211	385
354	211	384
355	212	383
356	212	382
357	212	381
358	213	380
359	213	379
360	214	378
361	214	378
362	214	377
363	215	376
364	215	375
365	216	374
366	216	373
367	217	372
368	217	371
369	217	371
370	218	370
371	218	369
372	219	368
373	219	367
374	219	366
375	220	365
376	220	364
377	221	363
378	221	362
379	221	361
380	222	361
381	222	360
382	223	359
383	223	358
384	223	357
385	224	356
386	224	356
387	225	355
388	225	354
389	226	353
390	226	352
391	226	351
392	227	351
393	227	350
394	228	349
395	228	348
396	229	348
397	229	347
398	230	346
399	230	345
400	230	344
401	231	344
402	231	343
403	232	342
404	232	341
405	232	340
406	233	339
407	233	338
408	233	338
409	234	337
410	234	336
411	235	335
412	235	334
413	236	334
414	236	333
415	236	332
416	237	331
417	237	330
418	237	330
419	238	329
420	238	328
421	239	327
422	239	326
423	239	326
424	240	325
425	240	324
426	241	323
427	241	322
428	241	322
429	242	321
430	242	320
431	243	319
432	243	319
433	244	318
434	244	317
435	244	316
436	245	315
437	245	315
438	246	314
439	246	313
440	246	312
441	247	312
442	247	311
443	248	310
444	248	309
445	248	309
446	249	308
447	249	307
448	249	306
449	250	306
450	250	305
451	251	304
452	251	303
453	252	303
454	252	302
455	252	301
456	253	300
457	253	300
458	254	299
459	254	298
460	254	298
461	255	297
462	255	296
463	256	295
464	256	295
465	256	294
466	257	293
467	257	292
468	258	292
469	258	291
470	258	290
471	259	290
472	259	289
473	260	288
474	260	287
475	260	287
476	261	286
477	261	285
478	262	285
479	262	284
480	263	283
481	263	283
482	263	282
483	264	281
484	264	281
485	265	280
486	265	279
487	265	279
488	266	278
489	266	277
490	267	276
491	267	276
492	267	275
493	268	274
494	268	274
495	269	273
496	269	272
497	269	272
498	270	271
499	270	270
500	271	270
501	271	269
502	271	268
503	272	268
504	272	267
505	273	266
506	273	266
507	274	265
508	274	264
509	274	264
510	275	263
511	275	262
512	276	262
513	276	261
514	277	260
515	277	260
516	277	259
517	278	258
518	278	258
519	279	257
520	279	256
521	279	256
522	280	255
523	280	254
524	281	254
525	281	253
526	281	252
527	282	252
528	282	251
529	283	251
530	283	250
531	283	249
532	284	249
533	284	248
534	285	247
535	285	247
536	285	246
537	286	245
538	286	245
539	287	244
540	287	244
541	288	243
542	288	242
543	288	242
544	289	241
545	289	240
546	290	240
547	290	239
548	290	238
549	291	238
550	291	237
551	292	237
552	292	236
553	292	235
554	293	235
555	293	234
556	294	233
557	294	233
558	294	232
559	295	232
560	295	231
561	296	230
562	296	230
563	297	229
564	297	228
565	297	228
566	298	227
567	298	227
568	298	226
569	299	225
570	299	225
571	300	224
572	300	224
573	301	223
574	301	222
575	301	222
576	302	221
577	302	221
578	303	220
579	303	219
580	303	219
581	304	218
582	304	217
583	305	217
584	305	216
585	306	216
586	306	215
587	306	214
588	307	214
589	307	213
590	307	213
591	308	212
592	308	211
593	309	211
594	309	210
595	309	210
596	310	209
597	310	208
598	311	208
599	311	207
600	311	207
601	312	206
602	312	205
603	312	205
604	313	204
605	313	203
606	314	203
607	314	202
608	315	202
609	315	201
610	315	201
611	316	200
612	316	200
613	317	199
614	317	198
615	317	198
616	318	197
617	318	197
618	319	196
619	319	195
620	319	195
621	320	194
622	320	194
623	321	193
624	321	192
