iter	Passed	Remaining
0	5	5439
1	10	5173
2	14	4984
3	19	4915
4	24	4832
5	29	4824
6	33	4799
7	38	4790
8	43	4777
9	48	4791
10	53	4767
11	58	4795
12	63	4800
13	68	4806
14	72	4765
15	76	4699
16	79	4608
17	82	4508
18	85	4402
19	87	4289
20	89	4185
21	91	4076
22	93	3973
23	95	3879
24	97	3790
25	98	3703
26	100	3617
27	101	3536
28	103	3454
29	104	3383
30	105	3308
31	107	3239
32	108	3173
33	109	3109
34	110	3049
35	111	2992
36	112	2939
37	114	2888
38	115	2840
39	116	2794
40	117	2751
41	118	2709
42	119	2668
43	121	2630
44	122	2591
45	123	2556
46	124	2523
47	125	2491
48	126	2460
49	127	2430
50	129	2403
51	130	2374
52	131	2347
53	132	2321
54	133	2296
55	134	2272
56	135	2249
57	137	2227
58	138	2204
59	139	2183
60	140	2164
61	141	2144
62	142	2124
63	144	2106
64	145	2090
65	146	2072
66	147	2055
67	148	2039
68	149	2022
69	151	2006
70	152	1991
71	153	1976
72	154	1961
73	155	1946
74	156	1935
75	158	1922
76	159	1909
77	160	1896
78	161	1883
79	162	1871
80	163	1859
81	165	1847
82	166	1836
83	167	1824
84	168	1813
85	169	1801
86	170	1791
87	171	1779
88	172	1769
89	173	1759
90	175	1750
91	176	1740
92	177	1731
93	178	1721
94	179	1713
95	181	1705
96	182	1696
97	183	1687
98	184	1679
99	185	1671
100	186	1663
101	188	1655
102	189	1647
103	190	1641
104	191	1633
105	192	1626
106	194	1619
107	195	1613
108	196	1606
109	197	1599
110	198	1592
111	200	1586
112	201	1579
113	202	1573
114	203	1566
115	205	1563
116	206	1557
117	207	1550
118	208	1544
119	209	1538
120	210	1531
121	212	1525
122	213	1520
123	214	1514
124	215	1508
125	216	1503
126	218	1499
127	219	1493
128	220	1488
129	221	1483
130	222	1478
131	224	1473
132	225	1467
133	226	1463
134	227	1458
135	228	1453
136	230	1448
137	231	1443
138	232	1438
139	233	1433
140	234	1428
141	235	1423
142	236	1418
143	237	1413
144	238	1408
145	240	1404
146	241	1400
147	242	1396
148	243	1391
149	244	1387
150	246	1383
151	247	1379
152	248	1376
153	249	1372
154	251	1369
155	252	1365
156	253	1361
157	254	1358
158	256	1354
159	257	1350
160	258	1346
161	259	1342
162	260	1338
163	261	1334
164	262	1330
165	264	1326
166	265	1323
167	266	1320
168	267	1316
169	268	1313
170	270	1309
171	271	1306
172	272	1303
173	273	1299
174	274	1296
175	276	1292
176	277	1288
177	278	1285
178	279	1281
179	280	1277
180	281	1275
181	283	1272
182	284	1268
183	285	1265
184	286	1262
185	287	1259
186	289	1256
187	290	1253
188	291	1249
189	292	1246
190	293	1244
191	295	1241
192	296	1239
193	297	1236
194	298	1233
195	299	1230
196	301	1227
197	302	1224
198	303	1221
199	304	1218
200	305	1215
201	307	1212
202	308	1210
203	309	1208
204	310	1206
205	312	1203
206	313	1200
207	314	1196
208	315	1194
209	316	1191
210	317	1188
211	319	1185
212	320	1183
213	321	1180
214	322	1177
215	323	1174
216	324	1172
217	326	1170
218	327	1167
219	328	1164
220	329	1162
221	331	1160
222	332	1157
223	333	1154
224	334	1152
225	335	1149
226	336	1147
227	338	1145
228	339	1142
229	340	1139
230	341	1137
231	342	1134
232	343	1131
233	344	1129
234	346	1126
235	347	1123
236	348	1121
237	349	1118
238	350	1116
239	351	1114
240	353	1111
241	354	1109
242	355	1107
243	356	1105
244	358	1103
245	359	1101
246	360	1098
247	361	1096
248	362	1093
249	363	1091
250	365	1089
251	366	1087
252	367	1085
253	368	1083
254	370	1081
255	371	1078
256	372	1076
257	373	1074
258	375	1073
259	376	1070
260	377	1068
261	378	1066
262	379	1063
263	381	1062
264	382	1059
265	383	1057
266	384	1056
267	385	1054
268	387	1052
269	388	1050
270	389	1048
271	390	1046
272	392	1044
273	393	1042
274	394	1040
275	395	1037
276	396	1035
277	398	1033
278	399	1031
279	400	1029
280	401	1027
281	402	1024
282	403	1022
283	404	1020
284	406	1018
285	407	1016
286	408	1014
287	409	1012
288	410	1010
289	412	1008
290	413	1006
291	414	1005
292	415	1003
293	416	1000
294	417	998
295	419	996
296	420	994
297	421	992
298	422	990
299	424	989
300	425	987
301	426	985
302	427	983
303	428	981
304	430	980
305	431	978
306	432	976
307	433	974
308	434	972
309	436	970
310	437	968
311	438	966
312	439	964
313	440	963
314	442	961
315	443	959
316	444	957
317	445	955
318	446	953
319	447	951
320	448	949
321	450	947
322	451	945
323	452	943
324	453	942
325	454	940
326	456	938
327	457	937
328	458	935
329	460	934
330	461	932
331	462	930
332	463	929
333	465	927
334	466	925
335	467	923
336	468	922
337	469	920
338	470	918
339	472	916
340	473	914
341	474	912
342	475	911
343	476	909
344	478	908
345	479	906
346	480	904
347	482	903
348	483	901
349	484	899
350	485	897
351	486	895
352	487	894
353	489	892
354	490	890
355	491	889
356	492	887
357	494	885
358	495	884
359	496	882
360	497	881
361	498	879
362	500	877
363	501	875
364	502	874
365	503	872
366	504	870
367	506	869
368	507	867
369	508	865
370	509	863
371	510	862
372	511	860
373	513	859
374	514	857
375	515	855
376	516	853
377	517	851
378	518	850
379	520	848
380	521	846
381	522	845
382	523	843
383	524	842
384	526	840
385	527	838
386	528	837
387	529	835
388	531	834
389	532	833
390	534	832
391	535	830
392	536	829
393	538	827
394	539	825
395	540	824
396	541	822
397	542	820
398	544	819
399	545	817
400	546	816
401	547	814
402	548	813
403	550	811
404	551	809
405	552	808
406	553	806
407	554	805
408	556	803
409	557	802
410	558	800
411	559	799
412	561	797
413	562	796
414	563	794
415	564	792
416	565	791
417	566	789
418	568	787
419	569	786
420	570	784
421	571	783
422	573	781
423	574	780
424	575	778
425	576	776
426	577	775
427	578	773
428	580	772
429	581	770
430	582	768
431	583	767
432	584	765
433	585	764
434	587	762
435	588	761
436	589	759
437	590	758
438	592	756
439	593	755
440	594	753
441	595	752
442	597	750
443	598	749
444	599	747
445	600	746
446	602	744
447	603	743
448	604	741
449	605	740
450	606	738
451	607	737
452	609	735
453	610	733
454	611	732
455	612	730
456	613	729
457	615	728
458	616	726
459	617	724
460	618	723
461	619	721
462	621	720
463	622	718
464	623	717
465	624	715
466	625	714
467	626	712
468	627	710
469	629	709
470	630	707
471	631	706
472	632	705
473	634	703
474	635	702
475	636	700
476	637	699
477	638	697
478	640	696
479	641	694
480	642	693
481	643	691
482	644	690
483	645	688
484	647	687
485	648	685
486	649	684
487	650	682
488	652	681
489	653	679
490	654	678
491	655	676
492	656	675
493	657	673
494	659	672
495	660	670
496	661	669
497	662	667
498	663	666
499	664	664
500	666	663
501	667	661
502	668	660
503	669	658
504	670	657
505	671	655
506	673	654
507	674	653
508	675	651
509	676	650
510	677	648
511	678	647
512	680	645
513	681	644
514	682	642
515	683	641
516	684	639
517	686	638
518	687	636
519	688	635
520	689	633
521	690	632
522	691	631
523	693	629
524	694	628
525	695	626
526	696	625
527	697	623
528	698	622
529	700	620
530	701	619
531	702	617
532	703	616
533	704	615
534	706	613
535	707	612
536	708	610
537	709	609
538	710	607
539	712	606
540	713	605
541	714	603
542	715	602
543	716	600
544	718	599
545	719	598
546	720	596
547	721	595
548	723	594
549	724	592
550	725	591
551	726	589
552	727	588
553	729	586
554	730	585
555	731	584
556	732	582
557	734	581
558	735	579
559	736	578
560	737	577
561	738	575
562	740	574
563	741	573
564	742	571
565	744	570
566	745	569
567	746	567
568	747	566
569	748	564
570	749	563
571	751	561
572	752	560
573	753	559
574	754	557
575	755	556
576	756	554
577	758	553
578	759	552
579	760	550
580	761	549
581	762	547
582	763	546
583	765	544
584	766	543
585	767	542
586	768	540
587	769	539
588	770	537
589	772	536
590	773	535
591	774	533
592	775	532
593	776	531
594	778	529
595	779	528
596	780	526
597	781	525
598	782	524
599	784	522
600	785	521
601	786	519
602	787	518
603	788	517
604	789	515
605	790	514
606	792	512
607	793	511
608	794	510
609	795	508
610	796	507
611	797	505
612	799	504
613	800	503
614	801	501
615	802	500
616	803	499
617	805	497
618	806	496
619	807	494
620	808	493
621	809	492
622	810	490
623	812	489
624	813	488
625	814	486
626	815	485
627	817	484
628	818	482
629	819	481
630	820	479
631	821	478
632	823	477
633	824	475
634	825	474
635	826	472
636	827	471
637	828	470
638	829	468
639	830	467
640	832	466
641	833	464
642	834	463
643	835	461
644	836	460
645	837	459
646	838	457
647	840	456
648	841	455
649	842	453
650	843	452
651	845	451
652	846	449
653	847	448
654	848	446
655	849	445
656	851	444
657	852	442
658	853	441
659	854	440
660	855	438
661	857	437
662	858	436
663	859	434
664	860	433
665	861	432
666	863	430
667	864	429
668	865	428
669	866	426
670	867	425
671	869	424
672	870	422
673	871	421
674	872	420
675	873	418
676	874	417
677	876	416
678	877	414
679	878	413
680	879	412
681	880	410
682	882	409
683	883	408
