date,packet_id,latitude,longitude,T station,RH,p,PM2,PM10,CO,NO2,SO2,O3,H2S,NO2op1,NO2op2,NO2t,O3op1,O3op2,O3t,COop1,COop2,COt,g1_mt,g1_mh,H2Sop1,H2Sop2,H2St,SO2op1,SO2op2,SO2t,g2_mt,g2_mh,g3_data,ts
2024-05-24 10:13:00+07:00,,,,,,,,,0.0,0.0,,0.0,,221.716,231.415,21.0,235.99,227.823,20.761,28.022,24.204,20.854,21.01,44.12,,,,,,,,,,1716520364000.0
2024-05-24 10:14:00+07:00,,,,,,,,,0.0,0.0,,0.0,,221.879,231.481,20.998,235.459,227.931,20.75,28.027,24.194,20.812,20.98,44.57,,,,,,,,,,1716520424000.0
2024-05-24 10:15:00+07:00,,,,,,,,,0.0,0.0,,0.0,,222.605,231.771,20.946,238.401,228.036,20.71,28.37,24.213,20.795,20.97,44.68,,,,,,,,,,1716520484000.0
2024-05-24 10:16:00+07:00,,,,,,,,,0.0,0.0,,0.0,,222.534,231.858,20.938,237.655,228.115,20.688,28.058,24.28,20.75,20.91,44.59,,,,,,,,,,1716520544000.0
2024-05-24 10:17:00+07:00,,,,,,,,,0.0,0.0,,0.0,,222.369,232.021,20.933,238.862,228.352,20.676,27.906,24.308,20.749,20.87,44.3,,,,,,,,,,1716520604000.0
2024-05-24 10:18:00+07:00,,,,,,,,,0.0,0.0,,0.0,,221.73,231.984,20.88,235.256,228.347,20.626,27.725,24.291,20.693,20.92,44.27,,,,,,,,,,1716520664000.0
2024-05-24 10:19:00+07:00,,,,,,,,,0.0,0.0,,0.0,,222.567,232.211,20.875,237.67,228.426,20.625,27.652,24.253,20.688,20.9,44.52,,,,,,,,,,1716520724000.0
2024-05-24 10:20:00+07:00,,,,,,,,,0.0,0.0,,0.0,,223.106,232.429,20.874,238.199,228.653,20.612,27.766,24.293,20.656,20.88,44.78,,,,,,,,,,1716520784000.0
2024-05-24 10:21:00+07:00,,,,,,,,,0.0,0.0,,0.0,,223.103,232.567,20.824,239.422,228.846,20.562,27.745,24.303,20.625,20.87,44.68,,,,,,,,,,1716520844000.0
2024-05-24 10:22:00+07:00,,,,,,,,,0.0,0.0,,0.0,,223.309,232.755,20.812,239.328,228.74,20.562,27.718,24.317,20.625,20.87,44.85,,,,,,,,,,1716520904000.0
