date,packet_id,latitude,longitude,T station,RH,p,PM2,PM10,CO,NO2,SO2,O3,H2S,NO2op1,NO2op2,NO2t,O3op1,O3op2,O3t,COop1,COop2,COt,g1_mt,g1_mh,H2Sop1,H2Sop2,H2St,SO2op1,SO2op2,SO2t,g2_mt,g2_mh,g3_data,ts
2024-05-24 10:13:00+07:00,,,,,,,,,0.0,0.0,,0.0,,214.683,227.316,20.928,230.582,221.03,20.688,26.555,22.194,20.812,20.81,46.17,,,,,,,,,,1716520366000.0
2024-05-24 10:14:00+07:00,,,,,,,,,0.0,0.0,,0.0,,214.59,227.38,20.878,229.386,221.374,20.656,26.558,22.18,20.79,20.79,46.75,,,,,,,,,,1716520427000.0
2024-05-24 10:15:00+07:00,,,,,,,,,0.0,0.0,,0.0,,215.831,227.597,20.875,231.766,221.66,20.625,26.896,22.237,20.75,20.76,46.75,,,,,,,,,,1716520487000.0
2024-05-24 10:16:00+07:00,,,,,,,,,0.0,0.0,,0.0,,215.603,227.793,20.868,231.801,221.74,20.624,26.582,22.291,20.749,20.71,46.54,,,,,,,,,,1716520547000.0
2024-05-24 10:17:00+07:00,,,,,,,,,0.0,0.0,,0.0,,215.054,227.97,20.82,232.102,221.891,20.573,26.401,22.297,20.7,20.67,46.04,,,,,,,,,,1716520607000.0
2024-05-24 10:18:00+07:00,,,,,,,,,0.0,0.0,,0.0,,214.83,228.089,20.812,230.566,221.914,20.562,26.257,22.296,20.688,20.72,46.45,,,,,,,,,,1716520667000.0
2024-05-24 10:19:00+07:00,,,,,,,,,0.0,0.0,,0.0,,215.535,228.002,20.812,231.211,222.05,20.562,26.145,22.257,20.682,20.72,46.55,,,,,,,,,,1716520727000.0
2024-05-24 10:20:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.093,228.309,20.77,231.961,222.285,20.52,26.254,22.315,20.628,20.72,46.54,,,,,,,,,,1716520787000.0
2024-05-24 10:21:00+07:00,,,,,,,,,0.0,0.0,,0.0,,215.895,228.422,20.75,232.307,222.452,20.5,26.247,22.336,20.625,20.71,46.66,,,,,,,,,,1716520847000.0
2024-05-24 10:22:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.142,228.538,20.75,232.26,222.503,20.5,26.207,22.356,20.625,20.7,45.94,,,,,,,,,,1716520907000.0
2024-05-24 10:23:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.111,228.647,20.75,233.129,222.722,20.5,26.245,22.392,20.604,20.68,46.65,,,,,,,,,,1716520967000.0
2024-05-24 10:24:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.122,228.737,20.747,233.932,222.875,20.469,26.632,22.421,20.565,20.68,46.98,,,,,,,,,,1716521027000.0
2024-05-24 10:25:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.253,228.899,20.716,234.415,223.04,20.441,26.843,22.42,20.562,20.7,46.58,,,,,,,,,,1716521087000.0
2024-05-24 10:26:00+07:00,,,,,,,,,0.0,0.0,,0.0,,215.969,229.01,20.694,232.802,223.106,20.438,26.282,22.399,20.562,20.71,45.97,,,,,,,,,,1716521147000.0
2024-05-24 10:27:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.002,229.054,20.688,233.525,223.026,20.438,26.216,22.402,20.562,20.71,46.8,,,,,,,,,,1716521207000.0
2024-05-24 10:28:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.49,229.234,20.688,234.813,223.262,20.438,26.235,22.455,20.562,20.7,47.29,,,,,,,,,,1716521267000.0
2024-05-24 10:29:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.968,229.38,20.688,234.661,223.346,20.438,26.245,22.463,20.557,20.7,46.72,,,,,,,,,,1716521327000.0
2024-05-24 10:30:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.397,229.394,20.688,234.286,223.437,20.438,26.187,22.487,20.534,20.69,46.39,,,,,,,,,,1716521387000.0
2024-05-24 10:31:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.734,229.385,20.688,233.621,223.562,20.438,26.095,22.465,20.513,20.67,46.79,,,,,,,,,,1716521447000.0
2024-05-24 10:32:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.169,229.599,20.688,234.776,223.744,20.435,26.15,22.49,20.5,20.68,46.27,,,,,,,,,,1716521507000.0
2024-05-24 10:33:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.174,229.67,20.688,233.828,223.746,20.428,26.556,22.504,20.5,20.7,45.87,,,,,,,,,,1716521567000.0
2024-05-24 10:34:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.284,229.752,20.688,234.569,223.658,20.425,26.491,22.516,20.5,20.7,46.9,,,,,,,,,,1716521627000.0
2024-05-24 10:35:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.176,229.779,20.688,234.256,224.086,20.415,26.22,22.517,20.5,20.66,45.98,,,,,,,,,,1716521687000.0
2024-05-24 10:36:00+07:00,,,,,,,,,0.0,0.0,,0.0,,216.473,229.806,20.688,234.17,223.956,20.41,26.082,22.524,20.5,20.67,45.72,,,,,,,,,,1716521747000.0
2024-05-24 10:37:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.225,229.971,20.688,234.309,223.989,20.389,26.058,22.547,20.5,20.67,46.24,,,,,,,,,,1716521808000.0
2024-05-24 10:38:00+07:00,,,,,,,,,0.0,0.0,,0.0,,217.225,229.971,20.688,234.309,223.989,20.389,26.228,22.571,20.5,20.67,47.17,,,,,,,,,,1716521867000.0
2024-05-24 10:39:00+07:00,,,,,,,,,0.0,0.0,,0.0,,218.004,230.002,20.686,235.133,224.253,20.383,26.228,22.571,20.5,20.68,47.32,,,,,,,,,,1716521928000.0
