date,packet_id,latitude,longitude,T station,RH,p,PM2,PM10,CO,NO2,SO2,O3,H2S,NO2op1,NO2op2,NO2t,O3op1,O3op2,O3t,COop1,COop2,COt,g1_mt,g1_mh,H2Sop1,H2Sop2,H2St,SO2op1,SO2op2,SO2t,g2_mt,g2_mh,g3_data,ts
2024-05-24 10:13:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,419.464,329.504,20.688,346.22,351.814,20.376,21.29,44.74,,1716520358000.0
2024-05-24 10:14:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,415.695,328.614,20.678,345.912,351.476,20.375,21.27,44.9,,1716520419000.0
2024-05-24 10:15:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,420.449,329.335,20.63,345.25,351.151,20.371,21.27,45.01,,1716520479000.0
2024-05-24 10:16:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,421.255,330.021,20.625,345.407,351.335,20.317,21.23,44.88,,1716520539000.0
2024-05-24 10:17:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,417.86,329.982,20.625,343.913,351.791,20.312,21.17,44.57,,1716520599000.0
2024-05-24 10:18:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,412.886,330.907,20.625,344.097,351.436,20.312,21.23,44.63,,1716520659000.0
2024-05-24 10:19:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,409.47,329.618,20.614,344.635,351.003,20.312,21.22,44.7,,1716520719000.0
2024-05-24 10:20:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,412.57,329.201,20.577,343.65,350.694,20.29,21.22,45.07,,1716520779000.0
2024-05-24 10:21:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,412.839,329.58,20.562,342.451,350.881,20.261,21.2,44.96,,1716520839000.0
2024-05-24 10:22:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,411.744,329.733,20.562,342.446,350.855,20.25,21.19,45.14,,1716520899000.0
2024-05-24 10:23:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,408.088,329.549,20.562,342.215,350.496,20.25,21.2,45.01,,1716520959000.0
2024-05-24 10:24:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,408.088,329.549,20.562,342.215,350.496,20.25,21.19,45.26,,1716521019000.0
2024-05-24 10:25:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,409.038,329.672,20.562,342.005,350.558,20.25,21.21,44.68,,1716521079000.0
2024-05-24 10:26:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,410.314,329.241,20.562,341.634,350.286,20.25,21.2,44.67,,1716521139000.0
2024-05-24 10:27:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,403.823,329.775,20.562,341.332,350.629,20.25,21.21,45.01,,1716521199000.0
2024-05-24 10:28:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,402.886,329.423,20.562,341.486,350.006,20.25,21.21,45.26,,1716521259000.0
2024-05-24 10:29:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,407.716,330.055,20.562,340.497,349.9,20.25,21.21,44.65,,1716521319000.0
2024-05-24 10:30:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,407.088,329.407,20.562,340.171,350.501,20.25,21.2,44.66,,1716521379000.0
2024-05-24 10:31:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,401.083,330.102,20.562,340.144,350.273,20.25,21.2,45.07,,1716521439000.0
2024-05-24 10:32:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,402.198,329.946,20.562,340.065,349.938,20.25,21.23,44.63,,1716521499000.0
2024-05-24 10:33:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,402.823,329.633,20.562,340.034,349.861,20.25,21.24,44.3,,1716521559000.0
2024-05-24 10:34:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,395.886,330.137,20.562,339.716,349.759,20.25,21.25,45.03,,1716521619000.0
2024-05-24 10:35:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,398.962,329.645,20.562,340.589,349.802,20.25,21.24,44.1,,1716521679000.0
2024-05-24 10:36:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,397.139,330.089,20.562,339.54,349.848,20.25,21.24,43.82,,1716521739000.0
2024-05-24 10:37:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,390.748,330.289,20.562,338.818,349.559,20.25,21.24,44.38,,1716521799000.0
2024-05-24 10:38:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,395.192,330.269,20.562,338.928,349.714,20.25,21.23,44.94,,1716521859000.0
2024-05-24 10:39:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,401.033,331.251,20.562,338.918,350.016,20.25,21.26,44.99,,1716521920000.0
2024-05-24 10:40:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,401.245,331.368,20.564,339.569,349.858,20.252,21.27,45.68,,1716521979000.0
2024-05-24 10:41:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,404.495,330.571,20.564,339.366,349.54,20.252,21.27,45.56,,1716522039000.0
2024-05-24 10:42:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,402.162,329.774,20.567,339.325,349.381,20.265,21.28,45.58,,1716522099000.0
2024-05-24 10:43:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,398.746,329.63,20.595,339.015,349.38,20.283,21.29,45.56,,1716522159000.0
2024-05-24 10:44:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,400.59,329.41,20.621,338.466,349.245,20.31,21.34,45.36,,1716522219000.0
2024-05-24 10:45:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,398.493,329.323,20.625,339.246,349.438,20.312,21.34,45.29,,1716522279000.0
2024-05-24 10:46:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,397.203,329.308,20.625,339.212,349.403,20.312,21.31,45.67,,1716522339000.0
2024-05-24 10:47:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,403.23,330.241,20.625,340.094,349.692,20.312,21.36,44.72,,1716522399000.0
2024-05-24 10:48:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,395.036,330.708,20.627,338.112,349.377,20.312,21.36,44.51,,1716522459000.0
2024-05-24 10:49:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,388.379,330.019,20.666,337.581,348.62,20.32,21.37,44.97,,1716522519000.0
2024-05-24 10:50:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,392.096,329.373,20.685,337.6,349.373,20.35,21.38,45.25,,1716522579000.0
2024-05-24 10:51:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,396.676,330.854,20.688,337.926,349.612,20.374,21.38,44.99,,1716522639000.0
2024-05-24 10:52:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,394.165,330.941,20.688,337.992,349.19,20.375,21.39,45.01,,1716522700000.0
2024-05-24 10:53:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,392.786,330.08,20.688,337.424,349.219,20.375,21.43,44.68,,1716522760000.0
2024-05-24 10:54:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,388.976,330.335,20.691,337.243,348.769,20.375,21.43,44.16,,1716522820000.0
2024-05-24 10:55:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,385.708,330.249,20.732,337.127,349.224,20.388,21.43,44.6,,1716522879000.0
2024-05-24 10:56:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,388.525,330.88,20.75,336.885,349.205,20.433,21.46,44.0,,1716522939000.0
2024-05-24 10:57:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,386.168,331.185,20.75,337.407,349.469,20.438,21.47,44.1,,1716522999000.0
2024-05-24 10:58:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,384.029,330.844,20.75,336.401,348.586,20.438,21.51,43.74,,1716523059000.0
2024-05-24 10:59:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,379.254,330.63,20.754,336.971,349.293,20.438,21.5,43.83,,1716523119000.0
2024-05-24 11:00:00+07:00,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,384.507,331.122,20.789,337.129,349.289,20.449,21.53,44.11,,1716523180000.0
